id,name,description,createdAt,lastModifiedAt,price
988,Yevette,Bayle,10/11/2022,1/14/2023,63
989,Desiree,Dannohl,6/12/2022,6/20/2022,79
990,Isa,Burniston,9/11/2022,1/17/2023,84
991,Sherline,Linnemann,4/12/2022,6/17/2022,89
992,Nata,Durran,12/18/2022,7/25/2022,8
993,Dayna,Krug,3/9/2023,12/17/2022,75
994,Manda,Zupa,2/19/2023,11/23/2022,55
995,Morry,Liddicoat,6/1/2022,11/18/2022,3
996,Rand,Truswell,10/31/2022,11/3/2022,86
997,Bonny,Grzesiak,3/15/2023,10/6/2022,15
998,Jonell,Donn,10/3/2022,11/22/2022,72
999,Ariel,Geikie,1/21/2023,11/13/2022,72
1000,Emelina,Andrelli,9/30/2022,7/10/2022,23
